Time,X,Y
1733687764,-1.3189418229861098,-1.5888218034575559
1733687764,-1.318861502304064,-1.5889122361789936
1733687765,-1.3187972310167344,-1.5889846287490013
1733687765,-1.318745805642813,-1.5890425681537692
1733687765,-1.3187046584407232,-1.5890889380277697
1733687765,-1.3186717348766603,-1.5891260476505813
1733687765,-1.3186453911935192,-1.5891557457214402
1733687765,-1.3186243122580954,-1.5891795120831367
1733687765,-1.3186074458394392,-1.5891985312411718
1733687765,-1.3185939500379111,-1.589213751256547
1733687765,-1.3185831512316928,-1.5892259309119254
1733687765,-1.31857451043494,-1.5892356774801821
1733687765,-1.3185675963839338,-1.5892434769637818
1733687765,-1.3185620640048457,-1.5892497183035283
1733687765,-1.3185576371865415,-1.589254712757583
1733687765,-1.3185540949973118,-1.5892587094133268
1733687765,-1.3185512606568284,-1.5892619076030168
1733687765,-1.3185489927124068,-1.5892644668408444
1733687765,-1.3185471779788906,-1.5892665147758642
1733687765,-1.318545725889568,-1.5892681535568645
1733687765,-1.3185445639760938,-1.5892694649260939
1733687765,-1.318543634251756,-1.5892705142956352
1733687765,-1.3185428903175225,-1.5892713540095955
1733687765,-1.3185422950464074,-1.5892720259547135
1733687765,-1.3185418187306075,-1.5892725636494522
1733687765,-1.321153469275674,-1.5833897025873767
1733687765,-1.3238936164165263,-1.5768686372094725
1733687765,-1.32664067231323,-1.5703273980644037
1733687765,-1.3293843217752026,-1.5637943138322612
1733687765,-1.3321247382227057,-1.557268995459197
1733687765,-1.3348625431981078,-1.5507499495952397
1733687765,-1.3375982592592577,-1.5442359210272791
1733687766,-1.340332305465354,-1.5377259032552886
1733687766,-1.343065016869671,-1.5312190916040604
1733687766,-1.3457966613098942,-1.5247148428640585
1733687766,-1.348527452890357,-1.518212642888313
1733687766,-1.3512575627612196,-1.5117120806889413
1733687766,-1.3539871277346722,-1.5052128277343917
1733687766,-1.3567162571724756,-1.4987146214027978
1733687766,-1.3594450384918602,-1.4922172517566867
1733687766,-1.3621735415670593,-1.4857205509720983
1733687766,-1.3649018222480798,-1.4792243848890978
1733687766,-1.3676299251737853,-1.4727286462578788
1733687766,-1.370357886020819,-1.4662332493401484
1733687766,-1.3730857333015842,-1.459738125593686
1733687766,-1.3758134898016794,-1.4532432202228172
1733687766,-1.378541173729132,-1.4467484894210092
1733687766,-1.3812687996332391,-1.4402538981667004
1733687766,-1.3839963791392502,-1.4337594184613232
1733687766,-1.3867239215357832,-1.4272650279208923
1733687766,-1.3894514342445436,-1.4207707086501136
1733687766,-1.3921789231959067,-1.4142764463424085
1733687766,-1.394906393129235,-1.4077822295604696
1733687766,-1.397633847832978,-1.4012880491611552
1733687766,-1.4003612903365952,-1.394793897835761
1733687766,-1.4030887230639397,-1.3882997697424546
1733687766,-1.4058161479557605,-1.3818056602124515
1733687766,-1.4085435665674853,-1.37531156551509
1733687766,-1.4112709801472212,-1.3688174826699506
1733687766,-1.4139983896978965,-1.362323409296588
1733687767,-1.4167257960266988,-1.355829343494346
1733687767,-1.4194531997843576,-1.349335283746169
1733687767,-1.422180601496325,-1.3428412288415663
1733687767,-1.4249080015874427,-1.3363471778149834
1733687767,-1.4276354004014702,-1.3298531298963923
1733687767,-1.430362798216517,-1.3233590844716963
1733687767,-1.433090195257221,-1.316865041051039
1733687767,-1.4358175917044012,-1.310370999243374
1733687767,-1.4385449877027183,-1.3038769587361105
1733687767,-1.4412723833667753,-1.2973829192788937
1733687767,-1.4439997787860621,-1.2908888806706063
1733687767,-1.4441587131889788,-1.2903633462237876
1733687767,-1.4441369810411502,-1.2904134627439536
1733687767,-1.4441100553949187,-1.2904776100199027
1733687767,-1.4440880111048744,-1.290530141838843
1733687767,-1.4440703605652485,-1.2905722034337577
